序列号,ID,Title,url,images,location,Period,Materials,Measurements,Artist,Credit Line,Type,Description,Illusion
5203,FSC-P-2785,"Jar, fragment of wall with angular shoulder",https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-P-2785,https://ids.si.edu/ids/iiif/FS-FSC-P-2785_1/full/full/0/default.jpg,China,,,,,Gift of Richard J. Pearson,,,
5204,S2012.9.151,Earring,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.151,https://ids.si.edu/ids/iiif/FS-7855_50/full/full/0/default.jpg,China,20th century forgery in the style of the Late Neolithic period (ca. 5000- ca. 1700 BCE),Jade,H x Diam (overall): 1.5 x 1.5 cm (9/16 x 9/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
5205,S2012.9.1848,Coin,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.1848,https://ids.si.edu/ids/iiif/FS-7783_26/full/full/0/default.jpg,China,,Bronze,H x Diam (overall): 0.1 x 2.3 cm (1/16 x 7/8 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
5206,S2012.9.2143.1-2,Pair of attachments,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.2143.1-2,https://ids.si.edu/ids/iiif/FS-jane_4872/full/full/0/default.jpg,China,,Brass,H x W x D (each): 6.9 x 4 x 0.9 cm (2 11/16 x 1 9/16 x 3/8 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
5207,S2012.9.2262,Garment hook,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.2262,https://ids.si.edu/ids/iiif/FS-7841_39/full/full/0/default.jpg,China,,Bronze,H x W x D (overall): 3.5 x 7.5 x 1.5 cm (1 3/8 x 2 15/16 x 9/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
5208,F1911.45a-b,Ritual vessel (an),https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1911.45a-b,https://ids.si.edu/ids/iiif/FS-7726_03/full/full/0/default.jpg,"Xingzheng, China",ca. 6th century BCE (vessel);19th-20th century (cover and finial),"Bronze, wood, and carnelian (?)",H x W: 10.1 x 15.9 cm (4 x 6 1/4 in),,Gift of Charles Lang Freer,,,
5209,F1917.119,Tapestry: landscape - a palace among mountains,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1917.119,https://ids.si.edu/ids/iiif/FS-5734_02/full/full/0/default.jpg,China,1368-1644,Color on silk panel,H x W: 116.7 x 119.9 cm (45 15/16 x 47 3/16 in),,Gift of Charles Lang Freer,,,
5210,FSC-P-3567,Deep heavy bowl,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-P-3567,https://ids.si.edu/ids/iiif/FS-FSC-P-3567_1-000001/full/full/0/default.jpg,China,,,,,Gift of Cecilia?and?Leandro?Locsin,,,
5211,S2012.9.2829,Horse and rider,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.2829,https://ids.si.edu/ids/iiif/FS-rls355/full/full/0/default.jpg,China,2nd-1st century BCE,Bronze,H x W x D (overall): 6.5 x 1.7 x 6.6 cm (2 9/16 x 11/16 x 2 5/8 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
5212,F1917.94,Ceremonial object,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1917.94,https://ids.si.edu/ids/iiif/FS-7623_11/full/full/0/default.jpg,China,1664-1911,Jade,H x W: 15.7 x 6.3 cm (6 3/16 x 2 1/2 in),,Gift of Charles Lang Freer,,,
5213,F1988.7,Poem in cursive script,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1988.7,https://ids.si.edu/ids/iiif/FS-F1988.7_001-000001/full/full/0/default.jpg,China,mid 16th century,Ink on gold-flecked paper,H x W: 18.8 x 50.8 cm (7 3/8 x 20 in),Wang Wen (1497-1576),Purchase — Charles Lang Freer Endowment,,,
5214,S2012.9.1451a-b,Garment buckle,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.1451a-b,https://ids.si.edu/ids/iiif/FS-7857_64/full/full/0/default.jpg,China,,Jade,H x W x D (overall): 8.6 x 3.8 x 2.2 cm (3 3/8 x 1 1/2 x 7/8 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
5215,S2012.9.1870a-b,Box with lid,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.1870a-b,https://ids.si.edu/ids/iiif/FS-rls_0300/full/full/0/default.jpg,China,,Bronze,H x W x D (overall): 4.3 x 7 x 3.4 cm (1 11/16 x 2 3/4 x 1 5/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
5216,S1987.642,Pendant in the form of a fish,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S1987.642,https://ids.si.edu/ids/iiif/FS-S1987.642_001/full/full/0/default.jpg,"Anyang, probably Henan province, China",ca. 1300-ca. 1050 BCE,Jade (serpentine),H x W x D: 3.1 x 6.1 x 0.4 cm (1 1/4 x 2 3/8 x 3/16 in),,Gift of Arthur M. Sackler,,,
5217,FSC-R-117a-b,2 rubbings of bronze mirrors,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-R-117a-b,https://ids.si.edu/ids/iiif/FS-8449_26/full/full/0/default.jpg,China,,Ink on paper,,,,,,
5218,S2012.9.3033,Carving,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.3033,https://ids.si.edu/ids/iiif/FS-7671_40/full/full/0/default.jpg,China,,Bone,H x W x D (overall): 2 x 2.5 x 0.7 cm (13/16 x 1 x 1/4 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
5219,FSC-B-268,Ornament,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-B-268,https://ids.si.edu/ids/iiif/FS-FSC-B-268/full/full/0/default.jpg,China,,Bronze,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,
5220,S2012.9.3204,Vessel for bird cage,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.3204,https://ids.si.edu/ids/iiif/FS-7816_20/full/full/0/default.jpg,China,14th century,Glazed ceramic,H x W x D (overall): 3 x 4.8 x 4.4 cm (1 3/16 x 1 7/8 x 1 3/4 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
5221,S1991.59,Consort of the Kangxi Emperor,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S1991.59,https://ids.si.edu/ids/iiif/FS-8380_18/full/full/0/default.jpg,China,1644-1911,Ink and colors on silk,H x W (painting): 149.2 x 96.9 cm (58 3/4 x 38 1/8 in),,Purchase — Smithsonian Collections Acquisition Program and partial gift of Richard G. Pritzlaff,,,
5222,S2012.9.2519,Pendant of a horse,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.2519,https://ids.si.edu/ids/iiif/FS-rls_4286/full/full/0/default.jpg,China,,Bronze,H x W x D (overall): 3.3 x 4 x 0.8 cm (1 5/16 x 1 9/16 x 5/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
5223,FSC-P-4280,Mouth of a small vase with dragon in relief,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-P-4280,https://ids.si.edu/ids/iiif/FS-FSC-P-4280_1/full/full/0/default.jpg,China,,Porcelain with clear glaze,,,Gift of Mr. Marion McDowell,,,
5224,FSC-P-99,Blue-and-white; Fragment of stem-cup,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-P-99,https://ids.si.edu/ids/iiif/FS-fsc-p-99v2/full/full/0/default.jpg,"Jingdezhen, Jiangxi province, China",mid 17th-early 18th century,Porcelain with cobalt pigment under clear glaze,,,,,,
5225,S2012.9.3083,Bowl,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.3083,https://ids.si.edu/ids/iiif/FS-7854_09/full/full/0/default.jpg,"Henan province, China",12th century,Stoneware with Jun glaze,H x Diam (overall): 4.3 x 9.7 cm (1 11/16 x 3 13/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
5226,S1987.413,Garment hook,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S1987.413,https://ids.si.edu/ids/iiif/FS-S1987.413_003/full/full/0/default.jpg,China,ca. late 4th-early 3rd century BCE,"Cast bronze inlaid with gold, silver, malachite, and turquoise",H x W x D: 17.8 x 2.3 x 3.7 cm (7 x 7/8 x 1 7/16 in),,Gift of Arthur M. Sackler,,,
5227,S1987.298,"Ritual wine cup (gu) with masks (taotie), dragons, and snakes",https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S1987.298,https://ids.si.edu/ids/iiif/FS-6351_12/full/full/0/default.jpg,China,ca. 1150-1100 BCE,Bronze,H x W x D: 25.3 x 14.7 x 14.7 cm (9 15/16 x 5 13/16 x 5 13/16 in),,Gift of Arthur M. Sackler,,,
5228,S2012.9.761,Thumb guard,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.761,https://ids.si.edu/ids/iiif/FS-7833_09/full/full/0/default.jpg,China,,Jade,H x W x D (overall): 7 x 5 x 0.8 cm (2 3/4 x 1 15/16 x 5/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
5229,S2012.9.692,Bead,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.692,https://ids.si.edu/ids/iiif/FS-7674_06/full/full/0/default.jpg,China,,Glass,H x Diam (overall): 2.7 x 2 cm (1 1/16 x 13/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
5230,F1911.160c,Meeting in a bamboo grove,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1911.160c,https://ids.si.edu/ids/iiif/FS-7412_34/full/full/0/default.jpg,China,17th- 19th century,Ink and color on paper,H x W (image): 24.8 x 28.8 cm (9 3/4 x 11 5/16 in),Formerly attributed to Li Gonglin (傳)李公麟 (ca. 1049-1106),Gift of Charles Lang Freer,,,
5231,F1917.369,Tube (cong琮),https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1917.369,https://ids.si.edu/ids/iiif/FS-F1917.369_001/full/full/0/default.jpg,China,,Calcite,H x W x D: 6.5 × 6.8 × 6.7 cm (2 9/16 × 2 11/16 × 2 5/8 in),,Gift of Charles Lang Freer,,,
5232,F1915.310,"Brocade, satin. Fragment",https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1915.310,https://ids.si.edu/ids/iiif/FS-8546_19/full/full/0/default.jpg,China,19th century,Gold,H x W: 10 x 83.5 cm (3 15/16 x 32 7/8 in),Jiaqing,Gift of Charles Lang Freer,,,
5233,S2012.9.4462,Bodhisattva,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.4462,https://ids.si.edu/ids/iiif/FS-7669_12/full/full/0/default.jpg,China,534-550,Stone,H x W x D (overall): 12.5 x 9 x 3.5 cm (4 15/16 x 3 9/16 x 1 3/8 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
5234,F1909.297,Bottle,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1909.297,https://ids.si.edu/ids/iiif/FS-7347_28/full/full/0/default.jpg,China,11th century,Stoneware with white slip under clear colorless glaze,H x W: 24.6 x 19.6 cm (9 11/16 x 7 11/16 in),,Gift of Charles Lang Freer,,,
5235,S2012.9.910,Woman,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.910,https://ids.si.edu/ids/iiif/FS-7648_25/full/full/0/default.jpg,China,,Jade,H x W x D (overall): 5.4 x 3.8 x 0.7 cm (2 1/8 x 1 1/2 x 1/4 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
5236,S2012.9.1924,Garment hook,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.1924,https://ids.si.edu/ids/iiif/FS-S2012.9.1924_001/full/full/0/default.jpg,China,3rd century BCE,Bronze,H x W x D (overall): 1.2 x 9.8 x 1.5 cm (1/2 x 3 7/8 x 9/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
5237,S1991.47,"Portrait of Hongyan, Prince Guo (1733-1765)",https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S1991.47,https://ids.si.edu/ids/iiif/FS-7996_11/full/full/0/default.jpg,China,mid- to late 18th century,Ink and color on silk,H x W (image): 222.1 x 103.7 cm (87 7/16 x 40 13/16 in),,Purchase — Smithsonian Collections Acquisition Program and partial gift of Richard G. Pritzlaff,,,
5238,F1916.115,Xu You Washing Out his Ears,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1916.115,https://ids.si.edu/ids/iiif/FS-8242_18/full/full/0/default.jpg,China,early 16th century,Hanging scroll mounted on panel; ink and color on silk,H x W (image): 119.9 x 61.5 cm (47 3/16 x 24 3/16 in),Formerly attributed to Li Tang 李唐 (ca. 1050s-after 1130),Gift of Charles Lang Freer,,,
5239,F1998.76.47,Seal of Xie Zhiliu (1910-1997): Baoyue piaoyan,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1998.76.47,https://ids.si.edu/ids/iiif/FS-6033_08/full/full/0/default.jpg,China,1972,Soapstone,H x W x D (overall): 3.2 x 2.7 x 3.2 cm (1 1/4 x 1 1/16 x 1 1/4 in),Wu Zijian (born 1947),Gift of the Xie Family,,,
5240,F1980.43,Inscription carved on a statue of Maitreya,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1980.43,https://ids.si.edu/ids/iiif/FS-7503_03/full/full/0/default.jpg,China,inscription: 585; rubbing: 20th century,Ink on paper,H x W: 69.9 x 201.6 cm (27 1/2 x 79 3/8 in),,Gift of Peking University,,,
5241,FSC-M-82,Dragon,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-M-82,https://ids.si.edu/ids/iiif/FS-8458_12/full/full/0/default.jpg,China,20th century forgery in the syle of Warring States period-Han dynasty (ca. 480 BCE-220 CE),Bronze with silver and gold inlay,H x W x D: 13.5 × 19.5 × 20 cm (5 5/16 × 7 11/16 × 7 7/8 in),,Anonymous gift,,,
5242,F1912.9,Table,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1912.9,https://ids.si.edu/ids/iiif/FS-8535_32/full/full/0/default.jpg,China,19th century,Teak wood,H x W x D: 87.3 x 119.8 x 37.3 cm (34 3/8 x 47 3/16 x 14 11/16 in),,Gift of Charles Lang Freer,,,
5243,S2012.9.4283,Bodhisattva Avalokiteshvara (Guanyin),https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.4283,https://ids.si.edu/ids/iiif/FS-rls_0882/full/full/0/default.jpg,China,618-907,Bronze with gilding,H x W x D (overall): 8.7 x 2.7 x 2.1 cm (3 7/16 x 1 1/16 x 13/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
5244,S1987.557,Ornament with dragon heads and raised uniform curls arranged in a grid,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S1987.557,https://ids.si.edu/ids/iiif/FS-S1987.557_001/full/full/0/default.jpg,"Shou xian, purportedly found at Anhui province, China",475-221 BCE,Jade (nephrite),H x W x D: 2.1 x 4.9 x 0.3 cm (13/16 x 1 15/16 x 1/8 in),,Gift of Arthur M. Sackler,,,
5245,S2012.9.3910a-b,Jart with applied dragon and lid,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S2012.9.3910a-b,https://ids.si.edu/ids/iiif/FS-7854_34/full/full/0/default.jpg,China,12th-13th century,Glazed ceramic,H x Diam (overall): 9.4 x 9 cm (3 11/16 x 3 9/16 in),,"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,
5246,FSC-P-183,"Bowl, fragment of base",https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_FSC-P-183,https://ids.si.edu/ids/iiif/FS-fsc-p-183v1/full/full/0/default.jpg,"Qionglai kiln site, Qionglai, Sichuan province, China",9th-early 10th century,Stoneware with milky green glaze,,,Gift of Dr. David C. Graham,,,
5247,S1987.335,Food vessel (gui),https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S1987.335,https://ids.si.edu/ids/iiif/FS-7282_38/full/full/0/default.jpg,China,10th century BCE,Bronze,H x W x D: 12.9 x 25.9 x 25.5 cm (5 1/16 x 10 3/16 x 10 1/16 in),,Gift of Arthur M. Sackler,,,
5248,F1911.105,Mirror,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1911.105,https://ids.si.edu/ids/iiif/FS-5993_11/full/full/0/default.jpg,China,206 BCE-220 CE,Bronze,Diam x D: 6.9 x 0.7 cm (2 11/16 x 1/4 in),,Gift of Charles Lang Freer,,,
5249,F1912.22,Miniature cong,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_F1912.22,https://ids.si.edu/ids/iiif/FS-7533_13/full/full/0/default.jpg,China,19th century,Jade,H x W x D: 4.1 x 1.4 x 1.4 cm (1 5/8 x 9/16 x 9/16 in),,Gift of Charles Lang Freer,,,
5250,S1987.272,Ritual wine cup (gu) with dragons,https://asia.si.edu/explore-art-culture/collections/search/edanmdm:fsg_S1987.272,https://ids.si.edu/ids/iiif/FS-S1987.272_001/full/full/0/default.jpg,"Anyang, probably Henan province, China",ca. 1200 BCE,Bronze,H x Diam: 27.1 × 16.3 cm (10 11/16 × 6 7/16 in),,Gift of Arthur M. Sackler,,,
